osm_id,unity_world_x,unity_world_z,altura_m,nombre
303983014,1592.74,8081.459,6.4,
303983016,1633.353,8027.004,6.4,
303983017,1428.125,8022.582,6.4,
303983018,1611.391,8088.073,6.4,
303983019,1614.587,8020.323,6.4,
303983021,1573.957,8133.94,6.4,
303983022,1574.687,8073.049,6.4,
303983023,1555.439,8127.2,6.4,
303983024,1592.544,8140.812,6.4,
303983025,1440.738,8047.795,6.4,
303983026,1469.87,8057.687,6.4,
303983028,1514.275,8113.308,6.4,
363800516,1238.087,8353.132,6.4,San Joan baseliza
365508282,3025.831,10147.897,6.4,San Pedro ermita
427820128,1988.047,7819.031,6.4,
590205681,1471.955,8081.377,6.4,Club de jubilados
590205682,1096.493,7984.982,6.4,Altsasuko Kaputxinoen komentua
590205683,1068.092,7986.967,6.4,
625507917,574.029,9179.15,6.4,
625507919,849.262,9082.853,6.4,
625507925,980.324,9007.87,6.4,
625507926,964.567,9024.494,6.4,
625508691,1140.763,9053.919,6.4,
625508692,1170.945,9096.965,6.4,
625508693,1136.752,9134.405,6.4,
625508694,1096.329,9259.693,6.4,
625508695,1058.644,9229.173,6.4,
625508696,1002.367,9240.292,6.4,
760502513,1358.894,8054.937,6.4,
760502514,1344.215,8096.169,6.4,
760502515,1274.56,8068.753,6.4,
760502516,1289.2,8038.781,6.4,
760502517,1335.591,7942.629,6.4,
760502518,1381.709,7870.555,6.4,
760502519,1422.067,7912.854,6.4,
760502520,1498.567,7940.231,6.4,
760502521,1523.843,7886.853,6.4,
760502522,1587.762,7925.754,6.4,
760502523,1406.519,7954.994,9.6,
760502524,1396.866,8009.559,6.4,
760502525,1422.048,8128.155,6.4,
760502526,1330.242,8287.198,6.4,
760502527,1446.162,8275.08,6.4,
760502528,1419.488,8222.263,6.4,
760502529,1393.65,8241.886,6.4,
760502530,1358.442,8269.998,6.4,
760502531,1359.486,8253.062,6.4,
760502532,1510.324,7839.903,6.4,
760502533,1528.635,7848.759,6.4,
760502534,1542.635,7856.529,6.4,
760502535,1585.819,7880.69,6.4,
760502536,1599.323,7888.244,6.4,
760502537,1615.006,7897.072,6.4,
760502538,1638.859,7915.637,6.4,
760502539,1655.835,7926.771,6.4,
760502540,1670.113,7933.789,6.4,
760502541,1706.994,7947.246,6.4,
760502542,1719.934,7962.266,6.4,
760502543,1735.101,7970.88,6.4,
760502544,1743.425,7977.144,6.4,
760502545,1753.738,7979.035,6.4,
760502546,1772.213,7991.043,6.4,
783770917,1577.869,7955.115,6.4,
783770918,1570.977,7974.735,6.4,
783770919,1669.862,8133.265,6.4,
783770920,1654.092,8175.607,6.4,
783770921,1830.04,8159.26,6.4,Altsasuko udaletxea
783770922,1822.068,8168.935,6.4,
783770923,1833.634,8169.665,6.4,
783874256,2350.67,8182.664,6.4,
783874257,2206.975,8124.873,6.4,
783874258,2235.482,8137.137,6.4,
783874259,2191.277,8169.534,6.4,
783874260,2193.692,8163.972,6.4,
783874261,2195.965,8158.27,6.4,
783874262,2198.441,8152.671,6.4,
783874263,2218.173,8181.008,6.4,
783874264,2220.387,8175.358,6.4,
783874265,2222.458,8169.756,6.4,
783874266,2224.93,8164.461,6.4,
783874267,2165.884,8229.496,6.4,
783874268,2171.088,8217.745,6.4,
783874269,2175.937,8206.349,6.4,
783874270,2181.657,8191.901,6.4,
783874271,2207.316,8202.945,6.4,
783874272,2228.649,8231.699,6.4,
783874273,2232.263,8222.995,6.4,
783874274,2235.872,8214.501,6.4,
783874275,2218.621,8255.809,6.4,
783874277,2156.015,8373.265,6.4,
783874278,2149.079,8386.716,6.4,
783874279,2145.301,8395.523,6.4,
783874280,2141.934,8404.108,6.4,
783874281,2138.341,8413.129,6.4,
783874282,2134.418,8421.709,6.4,
783874283,2130.502,8430.51,6.4,
783874284,2126.91,8439.42,6.4,
783874285,2122.325,8449.792,6.4,
783874286,2094.695,8077.315,6.4,
783874287,2105.599,8081.799,6.4,
783874288,2117.784,8090.851,6.4,
783874289,2110.517,8118.688,6.4,
783874291,1786.693,7998.932,6.4,
783874292,1806.61,8004.631,6.4,
783874293,1826.983,8028.364,6.4,
783874294,1827.808,8039.816,6.4,
783874295,1839.079,8040.161,6.4,
783874296,1835.558,8047.402,6.4,
783874297,1839.234,8054.426,6.4,
783874298,1830.206,8071.623,6.4,
783874299,1897.561,8043.798,6.4,
783874300,1888.606,8066.388,6.4,
783874301,1864.729,8040.262,6.4,
783874302,1862.829,8054.153,6.4,
783874303,1856.463,8068.724,6.4,
783874304,1863.482,8073.918,6.4,
783874305,1853.878,8076.975,6.4,
783874306,1863.234,8081.85,6.4,
783874307,1851.942,8087.057,6.4,
783874308,1850.489,8094.14,6.4,
783874309,1848.328,8106.653,6.4,
783874310,1878.702,8101.876,6.4,
783874311,1874.638,8113.738,6.4,
783874312,1866.28,8122.245,6.4,
783874313,1838.681,8127.519,6.4,
783874314,1811.475,8122.191,6.4,
783874315,1826.241,8125.384,6.4,
783874316,1779.37,8046.308,6.4,
783874317,1792.183,8024.16,6.4,
783874318,1788.184,8015.25,6.4,
783874319,1798.482,8040.94,6.4,
783874320,1812.403,8050.189,6.4,
783874323,1653.954,8095.13,6.4,
783874324,1662.967,8074.815,6.4,
783874325,1648.931,8055.477,6.4,
783874326,1673.385,8041.599,6.4,
783874327,1693.746,8026.522,6.4,
783874328,1666.047,8027.311,6.4,
783874329,1677.779,8029.5,6.4,
783874330,1690.664,8032.755,6.4,
783874331,1700.698,8036.504,6.4,
783874332,1729.881,8051.414,6.4,
783874333,1720.418,8074.242,6.4,
783874334,1714.085,8050.725,6.4,
783874335,1722.221,8062.968,6.4,
783874336,1753.932,8078.057,6.4,
783874337,1781.169,8084.976,6.4,
783874338,1788.175,8092.926,6.4,
783874339,1802.222,8049.761,6.4,
783874340,1797.083,8073.874,6.4,
783874341,1800.308,8064.241,6.4,
783874342,1803.892,8058.242,6.4,
783874343,1714.874,8089.472,6.4,
783874344,1723.345,8099.189,6.4,
783874345,1690.028,8103.16,6.4,
783874346,1708.413,8103.537,6.4,
783874347,1711.438,8095.731,6.4,
784673755,1635.965,7974.452,6.4,
784673756,1621.421,7947.441,6.4,
784673757,1696.11,7984.265,6.4,
784673758,1690.736,8000.98,6.4,
784673759,1702.178,8008.345,6.4,
784673760,1715.995,8016.238,6.4,
784673761,1727.534,8022.594,6.4,
784673762,1751.101,8034.809,6.4,
784673763,1758.376,8016.354,6.4,
784673764,1751.798,8004.685,6.4,
784673765,1743.622,8001.74,6.4,
784673766,1728.963,7996.037,6.4,
784673767,2035.96,7965.126,6.4,
784673768,2059.666,7842.54,6.4,
784673769,2075.013,7856.103,6.4,
784673770,2096.545,7829.919,6.4,
784673771,2108.35,7828.882,6.4,
784673772,2115.96,7838.162,6.4,
784673773,2110.894,7841.994,6.4,
784673774,2144.313,7832.416,6.4,
784673775,2144.451,7814.766,6.4,
784673776,2175.371,7811.881,6.4,
784673777,2230.87,7765.735,6.4,Izelai
784673778,2318.791,7796.878,6.4,
784673779,2364.819,7791.838,6.4,
784673780,2389.568,7730.008,6.4,
784673781,2515.59,7716.16,6.4,
784673782,2547.482,7688.88,6.4,
784673783,2569.148,7714.936,6.4,
784673784,1481.271,8457.85,6.4,
784673785,1511.836,8433.921,6.4,
784673786,1456.331,8445.269,6.4,
784673787,1494.482,8558.544,6.4,
784673788,1519.066,8704.799,6.4,
784673789,1481.38,8712.013,3.2,
784673790,1470.896,8736.116,6.4,
784673791,1498.963,8673.688,6.4,
784673792,1547.277,8656.583,6.4,
784673793,1569.732,8668.588,6.4,
784673794,1774.047,8835.386,6.4,
784673795,1596.353,8891.646,6.4,
784673796,1523.405,8777.027,6.4,
784673797,1450.199,8765.099,6.4,
784673799,1640.391,8553.346,6.4,
784673801,1490.221,8140.469,6.4,
784673802,1484.716,8154.866,6.4,
784673803,1478.384,8168.491,6.4,
784673804,1472.982,8186.321,6.4,
784673805,1468.561,8198.609,6.4,
784673806,1482.279,8200.212,6.4,
784673807,1499.54,8201.381,6.4,
784673808,1514.397,8204.807,6.4,
784673809,1522.601,8209.81,6.4,
784673810,1539.738,8208.751,6.4,
784673811,1565.366,8193.497,6.4,
784673812,1580.148,8175.215,6.4,
784673813,1571.591,8170.504,6.4,
784673814,1534.787,8160.783,6.4,
784673815,1500.71,8146.438,6.4,
784673816,1602.393,8188.483,6.4,
784673817,1595.389,8213.078,6.4,
784673818,1620.556,8209.036,6.4,
784673819,1628.933,8219.242,6.4,
784673820,1458.468,8228.605,6.4,
784673821,1476.22,8220.48,6.4,
784673822,1485.311,8224.192,6.4,
784673823,1499.171,8227.824,6.4,
784673824,1523.835,8234.004,6.4,
784673825,1543.495,8242.865,6.4,
784673826,1523.424,8269.202,6.4,
784673827,1499.226,8259.441,6.4,
784673828,1486.911,8249.304,6.4,
784673829,1475.862,8244.074,6.4,
784673830,1406.004,8208.209,6.4,
784673831,1366.254,8196.417,6.4,
784673832,1331.92,8187.115,6.4,
784673833,1311.629,8179.604,6.4,
784673834,1304.993,8175.498,6.4,
784673835,1360.135,8207.204,6.4,
784673836,1295.143,8133.826,6.4,
784673837,1299.697,8147.267,6.4,
784673838,1337.332,8153.742,6.4,
784673839,1352.787,8163.648,6.4,
784673840,1368.187,8167.688,6.4,
784673841,1383.157,8174.206,6.4,
784673842,1404.84,8178.229,6.4,
784673843,1421.328,8186.645,6.4,
784673844,1433.057,8187.585,6.4,
784673845,1443.385,8194.399,6.4,
784673846,1449.023,8180.935,6.4,
784673847,1201.405,8170.91,6.4,
784673848,1156.203,8171.276,6.4,
784673849,1169.374,8184.643,6.4,
784673850,1122.667,8184.006,6.4,
784673851,1116.419,8169.966,6.4,
784673852,1093.877,8171.261,6.4,
784673853,1087.451,8172.853,6.4,
784673854,1082.53,8175.746,6.4,
784673855,1074.423,8176.679,6.4,
784673856,1068.313,8177.939,6.4,
784673857,1087.709,8216.54,6.4,
784673858,1106.107,8206.611,6.4,
784673859,1131.62,8203.032,6.4,
784673860,1136.297,8217.251,6.4,
784673861,1140.218,8229.645,6.4,
784673862,1127.741,8246.556,6.4,
784673863,1113.549,8251.014,6.4,
784673864,1047.772,8204.492,6.4,
784673865,1035.008,8208.002,6.4,
784673866,985.05,8202.811,6.4,
784673867,982.253,8177.092,6.4,
784673868,993.821,8186.627,6.4,
784673869,983.219,8149.73,6.4,
784673870,1075.633,8093.437,6.4,
784673871,1059.627,8024.355,6.4,
784673872,1044.524,8016.484,6.4,
784673873,1034.116,8001.146,6.4,
784673874,1028.861,7986.896,6.4,
784673876,915.593,7913.429,6.4,
784673877,971.51,7938.128,6.4,
784673878,932.654,7980.442,6.4,
784673879,941.073,8013.532,6.4,
784673885,1071.485,7873.765,6.4,
784673886,1055.983,7916.217,6.4,
784673889,1020.433,8262.445,6.4,
784797026,1361.753,8929.318,6.4,
784797027,1361.813,8938.3,6.4,
784797028,1362.19,8954.874,6.4,
784797029,1340.65,8949.29,6.4,
784797030,1334.556,8960.473,6.4,
784797031,1328.644,8970.993,6.4,
784797032,1320.475,8982.59,6.4,
784797033,1342.574,8971.367,6.4,
784797034,1341.297,8981.557,6.4,
784797035,1343.956,8991.439,6.4,
784797036,1332.646,9009.809,6.4,
784797037,1318.355,9009.002,6.4,
784797038,1349.227,9009.835,6.4,
784797039,1337.264,9044.101,6.4,
784797040,1345.588,9041.835,6.4,
784797041,1342.546,9029.054,6.4,
784797042,1349.714,9086.475,6.4,
784797046,1334.389,9162.204,6.4,
784797047,1338.42,9157.963,6.4,
784797048,1386.62,9133.198,6.4,
784797050,1416.411,9135.845,6.4,
784797051,1405.943,9140.928,6.4,
784797053,1441.337,9150.783,6.4,
784797054,1537.21,9183.854,6.4,
784797055,1554.397,9197.075,6.4,
784797056,1557.378,9176.461,6.4,
784797057,1557.441,9162.383,6.4,
784797058,1605.041,9243.382,6.4,
784797059,1689.397,9234.643,6.4,
784797060,1703.702,9160.926,6.4,
784797062,1695.176,9294.544,6.4,
784797063,1674.401,9284.613,6.4,
784797067,1875.534,8990.222,6.4,
784797070,1954.722,8928.181,3.2,
784797072,1991.653,8970.14,6.4,
784797073,1985.179,8929.703,3.2,
784797074,1983.68,8938.99,3.2,
784797075,2092.35,8954.418,6.4,
784797076,2098.82,8960.815,6.4,
784797077,2091.906,8986.04,6.4,
784797078,2202.111,9012.577,6.4,q
784797079,2246.553,8932.263,3.2,
784797084,2421.677,8944.134,6.4,
784797085,2505.454,8917.032,6.4,
784797086,2534.346,8904.799,6.4,
784797087,2575.317,8905.377,6.4,
784797088,2600.973,8903.07,6.4,
784797089,2463.522,8878.932,6.4,
